timestamp,hr,hr_avg,delta_hr,stress,state
2026-01-13 10:07:15,88,88.0,0.0,0,CALM
2026-01-13 10:07:17,86,87.0,-1.0,5.0,CALM
2026-01-13 10:07:19,85,86.3,-1.3,6.7,CALM
2026-01-13 10:07:23,85,86.0,-1.0,5.0,CALM
2026-01-13 10:07:28,86,86.0,0.0,0,CALM
2026-01-13 10:07:32,84,85.7,-1.7,8.3,CALM
2026-01-13 10:07:36,84,85.4,-1.4,7.1,CALM
2026-01-13 10:07:41,83,85.1,-2.1,10.6,CALM
2026-01-13 10:07:43,80,84.6,-4.6,22.8,CALM
2026-01-13 10:07:45,78,83.9,-5.9,29.5,CALM
2026-01-13 10:07:49,81,83.6,-2.6,13.2,CALM
2026-01-13 10:07:51,82,83.5,-1.5,7.5,CALM
2026-01-13 10:07:53,83,83.5,-0.5,2.3,CALM
2026-01-13 10:07:55,81,83.3,-2.3,11.4,CALM
2026-01-13 10:07:56,80,83.1,-3.1,15.3,CALM
2026-01-13 10:08:02,80,82.9,-2.9,14.4,CALM
2026-01-13 10:08:07,81,82.8,-1.8,8.8,CALM
2026-01-13 10:08:09,83,82.8,0.2,1.1,CALM
2026-01-13 10:08:15,82,82.7,-0.7,3.7,CALM
2026-01-13 10:08:17,54,81.3,-27.3,100,CRITICAL
2026-01-13 10:08:19,49,79.8,-30.8,100,CRITICAL
2026-01-13 10:08:24,49,78.4,-29.4,100,CRITICAL
2026-01-13 10:08:30,48,77.0,-29.0,100,CRITICAL
2026-01-13 10:08:35,47,75.8,-28.8,100,CRITICAL
2026-01-13 10:08:37,48,74.7,-26.7,100,CRITICAL
2026-01-13 10:08:43,48,73.7,-25.7,100,CRITICAL
2026-01-13 10:09:40,62,62.0,0.0,0,CALM
2026-01-13 10:09:42,64,63.0,1.0,5.0,CALM
2026-01-13 10:09:44,66,64.0,2.0,10.0,CALM
2026-01-13 10:09:46,67,64.8,2.2,11.2,CALM
2026-01-13 10:09:48,69,65.6,3.4,17.0,CALM
2026-01-13 10:09:50,67,65.8,1.2,5.8,CALM
2026-01-13 10:09:55,67,66.0,1.0,5.0,CALM
2026-01-13 10:09:57,69,66.4,2.6,13.1,CALM
2026-01-13 10:10:01,69,66.7,2.3,11.7,CALM
2026-01-13 10:10:06,72,67.2,4.8,24.0,CALM
2026-01-13 10:10:10,74,67.8,6.2,30.9,TENSE
2026-01-13 10:10:12,72,68.2,3.8,19.2,CALM
2026-01-13 10:10:14,71,68.4,2.6,13.1,CALM
2026-01-13 10:10:16,73,68.7,4.3,21.4,CALM
2026-01-13 10:10:17,74,69.1,4.9,24.7,CALM
2026-01-13 10:10:23,74,69.4,4.6,23.1,CALM
2026-01-13 10:10:27,75,69.7,5.3,26.5,CALM
2026-01-13 10:10:30,76,70.1,5.9,29.7,CALM
2026-01-13 10:10:32,79,70.5,8.5,42.4,TENSE
2026-01-13 10:10:34,82,71.1,10.9,54.5,TENSE
2026-01-13 10:10:36,83,71.7,11.3,56.7,TENSE
2026-01-13 10:10:40,83,72.2,10.8,54.1,TENSE
2026-01-13 10:10:42,81,72.6,8.4,42.2,TENSE
2026-01-13 10:10:47,81,72.9,8.1,40.4,TENSE
2026-01-13 10:10:49,80,73.2,6.8,34.0,TENSE
2026-01-13 10:10:53,82,73.5,8.5,42.3,TENSE
2026-01-13 10:10:55,80,73.8,6.2,31.1,TENSE
2026-01-13 10:10:57,79,74.0,5.0,25.2,CALM
2026-01-13 10:11:00,78,74.1,3.9,19.5,CALM
2026-01-13 10:11:04,79,74.3,4.7,23.7,CALM
2026-01-13 10:11:06,78,74.4,3.6,18.1,CALM
2026-01-13 10:11:09,79,74.5,4.5,22.3,CALM
2026-01-13 10:11:15,78,74.6,3.4,16.8,CALM
2026-01-13 10:11:19,79,74.8,4.2,21.2,CALM
2026-01-13 10:11:21,80,74.9,5.1,25.4,CALM
2026-01-13 10:11:24,79,75.0,4.0,19.9,CALM
2026-01-13 10:11:26,75,75.0,-0.0,0.1,CALM
2026-01-13 10:11:32,75,75.0,-0.0,0.1,CALM
2026-01-13 10:11:34,72,74.9,-2.9,14.7,CALM
